,fit_time,score_time,test_accuracy,train_accuracy,test_f1,train_f1,test_recall,train_recall,test_precision,train_precision,test_average_precision,train_average_precision,test_roc_auc,train_roc_auc
Dummy Classifier,0.0311,0.0404,0.5525,0.5066,0.5041,0.4663,0.4853,0.4607,0.5251,0.4726,0.5251,0.4726,0.4757,0.5142
RBF SVM,0.0751,0.0511,0.5963,0.7431,0.4962,0.6831,0.4240,0.5913,0.5987,0.8096,0.5987,0.8096,0.6394,0.8429
Logistic Regression,0.0981,0.0289,0.6050,0.8472,0.5620,0.8324,0.5413,0.8100,0.5856,0.8563,0.5856,0.8563,0.6284,0.9177
Logistic Regression (balanced),0.1010,0.0319,0.6100,0.8475,0.5870,0.8380,0.5920,0.8413,0.5834,0.8348,0.5834,0.8348,0.6278,0.9180
